Week,Day,Date,TimeIn,Dash,TimeOut,DineOut,DineIn,
-1,0,08/17/14,7:46AM,-,8:00AM,0,4,
-1,0,08/17/14,8:01AM,-,8:15AM,0,77,
-1,0,08/17/14,8:16AM,-,8:30AM,0,25,
-1,0,08/17/14,8:31AM,-,8:45AM,0,5,
-1,0,08/17/14,8:46AM,-,9:00AM,0,18,
-1,0,08/17/14,9:01AM,-,9:15AM,0,17,
-1,0,08/17/14,11:46AM,-,12:00PM,2,0,
-1,0,08/17/14,12:01PM,-,12:15PM,0,101,
-1,0,08/17/14,12:16PM,-,12:30PM,0,30,
-1,0,08/17/14,12:31PM,-,12:45PM,0,2,
-1,0,08/17/14,12:46PM,-,1:00PM,0,14,
-1,0,08/17/14,6:31PM,-,6:45PM,0,137,
-1,0,08/17/14,6:46PM,-,7:00PM,0,63,
-1,0,08/17/14,7:01PM,-,7:15PM,0,28,
-1,0,08/17/14,7:16PM,-,7:30PM,0,46,
-1,0,08/17/14,0,DayTotals:,0,2,567,0
-1,1,08/18/14,8:01AM,-,8:15AM,0,79,
-1,1,08/18/14,8:16AM,-,8:30AM,2,51,
-1,1,08/18/14,8:31AM,-,8:45AM,0,30,
-1,1,08/18/14,8:46AM,-,9:00AM,0,33,
-1,1,08/18/14,9:01AM,-,9:15AM,0,12,
-1,1,08/18/14,9:16AM,-,9:30AM,0,15,
-1,1,08/18/14,11:46AM,-,12:00PM,0,22,
-1,1,08/18/14,12:01PM,-,12:15PM,0,173,
-1,1,08/18/14,12:16PM,-,12:30PM,0,75,
-1,1,08/18/14,12:31PM,-,12:45PM,0,54,
-1,1,08/18/14,12:46PM,-,1:00PM,0,10,
-1,1,08/18/14,6:16PM,-,6:30PM,3,7,
-1,1,08/18/14,6:31PM,-,6:45PM,0,183,
-1,1,08/18/14,6:46PM,-,7:00PM,0,79,
-1,1,08/18/14,7:01PM,-,7:15PM,0,51,
-1,1,08/18/14,7:16PM,-,7:30PM,0,20,
-1,1,08/18/14,7:31PM,-,7:45PM,0,19,
-1,1,08/18/14,0,DayTotals:,0,5,913,0
-1,2,08/19/14,7:31AM,-,7:45AM,0,5,
-1,2,08/19/14,7:46AM,-,8:00AM,0,2,
-1,2,08/19/14,8:01AM,-,8:15AM,0,183,
-1,2,08/19/14,8:16AM,-,8:30AM,0,81,
-1,2,08/19/14,8:31AM,-,8:45AM,0,52,
-1,2,08/19/14,8:46AM,-,9:00AM,0,42,
-1,2,08/19/14,9:01AM,-,9:15AM,0,19,
-1,2,08/19/14,11:46AM,-,12:00PM,0,14,
-1,2,08/19/14,12:01PM,-,12:15PM,0,257,
-1,2,08/19/14,12:16PM,-,12:30PM,0,126,
-1,2,08/19/14,12:31PM,-,12:45PM,0,25,
-1,2,08/19/14,12:46PM,-,1:00PM,0,77,
-1,2,08/19/14,6:31PM,-,6:45PM,0,202,
-1,2,08/19/14,6:46PM,-,7:00PM,0,51,
-1,2,08/19/14,7:01PM,-,7:15PM,0,55,
-1,2,08/19/14,7:16PM,-,7:30PM,0,68,
-1,2,08/19/14,0,DayTotals:,0,0,1259,0
-1,3,08/20/14,7:46AM,-,8:00AM,0,1,
-1,3,08/20/14,8:01AM,-,8:15AM,0,176,
-1,3,08/20/14,8:16AM,-,8:30AM,0,83,
-1,3,08/20/14,8:31AM,-,8:45AM,0,34,
-1,3,08/20/14,8:46AM,-,9:00AM,1,38,
-1,3,08/20/14,9:01AM,-,9:15AM,0,9,
-1,3,08/20/14,11:46AM,-,12:00PM,1,15,
-1,3,08/20/14,12:01PM,-,12:15PM,0,238,
-1,3,08/20/14,12:16PM,-,12:30PM,0,77,
-1,3,08/20/14,12:31PM,-,12:45PM,0,70,
-1,3,08/20/14,12:46PM,-,1:00PM,0,2,
-1,3,08/20/14,6:16PM,-,6:30PM,0,52,
-1,3,08/20/14,6:31PM,-,6:45PM,0,184,
-1,3,08/20/14,6:46PM,-,7:00PM,0,80,
-1,3,08/20/14,7:01PM,-,7:15PM,0,40,
-1,3,08/20/14,7:16PM,-,7:30PM,0,39,
-1,3,08/20/14,7:31PM,-,7:45PM,0,1,
-1,3,08/20/14,0,DayTotals:,0,2,1139,0
-1,4,08/21/14,7:46AM,-,8:00AM,0,9,
-1,4,08/21/14,8:01AM,-,8:15AM,0,159,
-1,4,08/21/14,8:16AM,-,8:30AM,0,61,
-1,4,08/21/14,8:31AM,-,8:45AM,0,81,
-1,4,08/21/14,8:46AM,-,9:00AM,0,32,
