Week,Day,Date,TimeIn,Dash,TimeOut,DineOut,DineIn,
1,0,01/24/16,1:01PM,-,1:15PM,0,0,
1,0,01/24/16,1:16PM,-,1:30PM,0,0,
1,0,01/24/16,1:31PM,-,1:45PM,0,0,
1,0,01/24/16,1:46PM,-,2:00PM,0,0,
1,0,01/24/16,2:01PM,-,2:15PM,0,0,
1,0,01/24/16,2:16PM,-,2:30PM,0,0,
1,0,01/24/16,2:31PM,-,2:45PM,0,0,
1,0,01/24/16,3:01PM,-,3:15PM,0,0,
1,0,01/24/16,3:16PM,-,3:30PM,0,0,
1,0,01/24/16,3:31PM,-,3:45PM,0,0,
1,0,01/24/16,3:46PM,-,4:00PM,0,0,
1,0,01/24/16,4:01PM,-,4:15PM,0,0,
1,0,01/24/16,4:16PM,-,4:30PM,0,0,
1,0,01/24/16,4:31PM,-,4:45PM,0,0,
1,0,01/24/16,4:46PM,-,5:00PM,0,2,
1,0,01/24/16,5:01PM,-,5:15PM,0,93,
1,0,01/24/16,5:16PM,-,5:30PM,0,63,
1,0,01/24/16,5:31PM,-,5:45PM,0,165,
1,0,01/24/16,5:46PM,-,6:00PM,0,105,
1,0,01/24/16,6:01PM,-,6:15PM,0,134,
1,0,01/24/16,6:16PM,-,6:30PM,0,122,
1,0,01/24/16,6:31PM,-,6:45PM,0,64,
1,0,01/24/16,6:46PM,-,7:00PM,0,32,
1,0,01/24/16,7:01PM,-,7:15PM,0,0,
1,0,01/24/16,7:16PM,-,7:30PM,0,0,
1,0,01/24/16,7:31PM,-,7:45PM,0,0,
1,0,01/24/16,7:46PM,-,8:00PM,0,0,
1,0,01/24/16,8:01PM,-,8:15PM,0,0,
1,0,01/24/16,8:16PM,-,8:30PM,0,0,
1,0,01/24/16,8:31PM,-,8:45PM,0,0,
1,0,01/24/16,8:46PM,-,9:00PM,0,0,
1,0,01/24/16,9:01PM,-,9:15PM,0,0,
1,0,01/24/16,9:16PM,-,9:30PM,0,0,
1,0,01/24/16,9:31PM,-,9:45PM,0,0,
1,0,01/24/16,10:01PM,-,10:15PM,0,0,
1,0,01/24/16,10:16PM,-,10:30PM,0,0,
1,0,01/24/16,10:31PM,-,10:45PM,0,0,
1,0,01/24/16,10:46PM,-,11:00PM,0,0,
1,0,01/24/16,11:01PM,-,11:15PM,0,0,
1,0,01/24/16,0,DayTotals:,0,0,780,0
1,1,01/25/16,7:01AM,-,7:15AM,0,31,
1,1,01/25/16,7:16AM,-,7:30AM,3,78,
1,1,01/25/16,7:31AM,-,7:45AM,2,82,
1,1,01/25/16,7:46AM,-,8:00AM,1,46,
1,1,01/25/16,8:01AM,-,8:15AM,0,55,
1,1,01/25/16,8:16AM,-,8:30AM,1,65,
1,1,01/25/16,8:31AM,-,8:45AM,0,56,
1,1,01/25/16,8:46AM,-,9:00AM,1,48,
1,1,01/25/16,9:01AM,-,9:15AM,0,16,
1,1,01/25/16,9:16AM,-,9:30AM,0,18,
1,1,01/25/16,9:31AM,-,9:45AM,2,33,
1,1,01/25/16,9:46AM,-,10:00AM,1,22,
1,1,01/25/16,10:01AM,-,10:15AM,0,4,
1,1,01/25/16,10:16AM,-,10:30AM,2,3,
1,1,01/25/16,10:31AM,-,10:45AM,0,6,
1,1,01/25/16,10:46AM,-,11:00AM,2,76,
1,1,01/25/16,11:01AM,-,11:15AM,5,62,
1,1,01/25/16,11:16AM,-,11:30AM,7,106,
1,1,01/25/16,11:31AM,-,11:45AM,5,91,
1,1,01/25/16,11:46AM,-,12:00PM,5,269,
1,1,01/25/16,12:01PM,-,12:15PM,9,231,
1,1,01/25/16,12:16PM,-,12:30PM,2,92,
1,1,01/25/16,12:31PM,-,12:45PM,5,56,
1,1,01/25/16,12:46PM,-,1:00PM,1,20,
1,1,01/25/16,1:01PM,-,1:15PM,3,50,
1,1,01/25/16,1:16PM,-,1:30PM,2,18,
1,1,01/25/16,1:31PM,-,1:45PM,0,8,
1,1,01/25/16,1:46PM,-,2:00PM,1,2,
1,1,01/25/16,2:01PM,-,2:15PM,1,1,
1,1,01/25/16,2:16PM,-,2:30PM,1,7,
1,1,01/25/16,2:31PM,-,2:45PM,0,5,
1,1,01/25/16,2:46PM,-,3:00PM,2,1,
1,1,01/25/16,3:01PM,-,3:15PM,1,0,
1,1,01/25/16,3:16PM,-,3:30PM,1,3,
1,1,01/25/16,3:31PM,-,3:45PM,4,1,
1,1,01/25/16,3:46PM,-,4:00PM,2,1,
1,1,01/25/16,4:01PM,-,4:15PM,3,0,
1,1,01/25/16,4:16PM,-,4:30PM,0,1,
1,1,01/25/16,4:31PM,-,4:45PM,0,3,
1,1,01/25/16,4:46PM,-,5:00PM,3,14,
1,1,01/25/16,5:01PM,-,5:15PM,8,34,
1,1,01/25/16,5:16PM,-,5:30PM,4,64,
1,1,01/25/16,5:31PM,-,5:45PM,4,69,
1,1,01/25/16,5:46PM,-,6:00PM,3,82,
1,1,01/25/16,6:01PM,-,6:15PM,8,285,
1,1,01/25/16,6:16PM,-,6:30PM,4,140,
1,1,01/25/16,6:31PM,-,6:45PM,5,95,
1,1,01/25/16,6:46PM,-,7:00PM,4,67,
1,1,01/25/16,7:01PM,-,7:15PM,3,47,
1,1,01/25/16,7:16PM,-,7:30PM,3,40,
1,1,01/25/16,7:31PM,-,7:45PM,3,10,
1,1,01/25/16,7:46PM,-,8:00PM,3,9,
1,1,01/25/16,8:01PM,-,8:15PM,0,0,
1,1,01/25/16,8:16PM,-,8:30PM,0,0,
1,1,01/25/16,8:31PM,-,8:45PM,0,0,
1,1,01/25/16,8:46PM,-,9:00PM,0,0,
