Start,-,End,MEALS2GO,MKT DINEIN
"Sunday, 08/16/2015",,,,
8:01 AM,-,8:15 AM,0,22
8:16 AM,-,8:30 AM,0,14
8:31 AM,-,8:45 AM,0,16
8:46 AM,-,9:00 AM,0,1
9:01 AM,-,9:15 AM,0,5
11:46 AM,-,12:00 PM,0,11
12:01 PM,-,12:15 PM,0,29
12:16 PM,-,12:30 PM,0,29
12:31 PM,-,12:45 PM,0,10
12:46 PM,-,1:00 PM,0,19
6:16 PM,-,6:30 PM,0,4
6:31 PM,-,6:45 PM,0,59
6:46 PM,-,7:00 PM,0,34
7:01 PM,-,7:15 PM,0,4
7:16 PM,-,7:30 PM,0,3
7:31 PM,-,7:45 PM,0,26
Day Totals:,0,0,286,0
"Monday, 08/17/2015",,,,
7:46 AM,-,8:00 AM,0,5
8:01 AM,-,8:15 AM,0,30
8:16 AM,-,8:30 AM,0,18
8:31 AM,-,8:45 AM,0,6
8:46 AM,-,9:00 AM,0,3
9:01 AM,-,9:15 AM,0,18
10:01 AM,-,10:15 AM,0,2
10:31 AM,-,10:45 AM,0,1
11:01 AM,-,11:15 AM,0,2
11:16 AM,-,11:30 AM,0,1
11:46 AM,-,12:00 PM,0,3
12:01 PM,-,12:15 PM,0,102
12:16 PM,-,12:30 PM,0,71
12:31 PM,-,12:45 PM,0,51
12:46 PM,-,1:00 PM,0,2
2:46 PM,-,3:00 PM,0,2
6:31 PM,-,6:45 PM,0,160
6:46 PM,-,7:00 PM,0,85
7:01 PM,-,7:15 PM,0,90
7:16 PM,-,7:30 PM,0,7
Day Totals:,0,0,659,0
"Tuesday, 08/18/2015",,,,
7:46 AM,-,8:00 AM,0,13
8:01 AM,-,8:15 AM,0,119
8:16 AM,-,8:30 AM,0,52
8:31 AM,-,8:45 AM,0,36
8:46 AM,-,9:00 AM,0,24
9:01 AM,-,9:15 AM,0,7
11:31 AM,-,11:45 AM,0,1
12:01 PM,-,12:15 PM,0,175
12:16 PM,-,12:30 PM,0,133
12:31 PM,-,12:45 PM,0,99
12:46 PM,-,1:00 PM,0,43
6:01 PM,-,6:15 PM,0,1
6:16 PM,-,6:30 PM,0,15
6:31 PM,-,6:45 PM,0,160
6:46 PM,-,7:00 PM,0,148
7:01 PM,-,7:15 PM,0,59
7:16 PM,-,7:30 PM,0,5
7:31 PM,-,7:45 PM,0,4
Day Totals:,0,0,"1,094",0
"Wednesday, 08/19/2015",,,,
7:46 AM,-,8:00 AM,0,7
8:01 AM,-,8:15 AM,0,128
8:16 AM,-,8:30 AM,0,58
8:31 AM,-,8:45 AM,0,82
8:46 AM,-,9:00 AM,0,37
9:01 AM,-,9:15 AM,0,56
11:31 AM,-,11:45 AM,0,1
12:01 PM,-,12:15 PM,0,221
12:16 PM,-,12:30 PM,0,85
12:31 PM,-,12:45 PM,0,48
12:46 PM,-,1:00 PM,0,27
1:01 PM,-,1:15 PM,0,12
1:16 PM,-,1:30 PM,0,17
6:16 PM,-,6:30 PM,0,124
6:31 PM,-,6:45 PM,0,82
6:46 PM,-,7:00 PM,0,51
7:01 PM,-,7:15 PM,0,76
7:16 PM,-,7:30 PM,0,40
7:31 PM,-,7:45 PM,0,4
Day Totals:,0,0,"1,156",0
"Thursday, 08/20/2015",,,,
7:46 AM,-,8:00 AM,0,40
8:01 AM,-,8:15 AM,0,63
8:16 AM,-,8:30 AM,0,66
8:31 AM,-,8:45 AM,0,67
8:46 AM,-,9:00 AM,0,48
9:01 AM,-,9:15 AM,0,19
9:16 AM,-,9:30 AM,0,3
11:46 AM,-,12:00 PM,0,10
12:01 PM,-,12:15 PM,0,237
12:16 PM,-,12:30 PM,0,148
12:31 PM,-,12:45 PM,0,16
12:46 PM,-,1:00 PM,0,48
1:01 PM,-,1:15 PM,0,35
3:01 PM,-,3:15 PM,0,1
6:31 PM,-,6:45 PM,0,186
6:46 PM,-,7:00 PM,0,47
7:01 PM,-,7:15 PM,0,108
7:16 PM,-,7:30 PM,0,45
7:31 PM,-,7:45 PM,0,1
Day Totals:,0,0,"1,188",0
"Friday, 08/21/2015",,,,
7:46 AM,-,8:00 AM,0,4
8:01 AM,-,8:15 AM,0,60
8:16 AM,-,8:30 AM,0,48
8:31 AM,-,8:45 AM,0,55
8:46 AM,-,9:00 AM,0,77
9:01 AM,-,9:15 AM,0,37
9:46 AM,-,10:00 AM,0,0
10:01 AM,-,10:15 AM,0,0
10:31 AM,-,10:45 AM,0,0
11:01 AM,-,11:15 AM,0,0
