Start,-,End,MEALS2GO,MKT DINEIN
"Sunday, 01/18/2015",,,,
01:01 PM,-,01:15 PM,0,0
01:16 PM,-,01:30 PM,0,0
01:31 PM,-,01:45 PM,0,0
02:01 PM,-,02:15 PM,0,0
02:16 PM,-,02:30 PM,0,0
02:31 PM,-,02:45 PM,0,0
02:46 PM,-,03:00 PM,0,0
03:01 PM,-,03:15 PM,0,0
03:16 PM,-,03:30 PM,0,0
03:31 PM,-,03:45 PM,0,0
03:46 PM,-,04:00 PM,0,0
04:01 PM,-,04:15 PM,0,0
04:16 PM,-,04:30 PM,0,0
04:46 PM,-,05:00 PM,0,2
05:01 PM,-,05:15 PM,0,57
05:16 PM,-,05:30 PM,0,62
05:31 PM,-,05:45 PM,0,105
05:46 PM,-,06:00 PM,0,113
06:01 PM,-,06:15 PM,0,161
06:16 PM,-,06:30 PM,0,111
06:31 PM,-,06:45 PM,0,105
06:46 PM,-,07:00 PM,0,44
07:01 PM,-,07:15 PM,0,0
07:16 PM,-,07:30 PM,0,0
07:31 PM,-,07:45 PM,0,0
07:46 PM,-,08:00 PM,0,0
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,0,760,0
"Monday, 01/19/2015",,,,
07:01 AM,-,07:15 AM,1,12
07:16 AM,-,07:30 AM,0,12
07:31 AM,-,07:45 AM,0,3
07:46 AM,-,08:00 AM,0,8
08:01 AM,-,08:15 AM,0,6
08:16 AM,-,08:30 AM,0,15
08:31 AM,-,08:45 AM,0,13
08:46 AM,-,09:00 AM,0,20
09:01 AM,-,09:15 AM,1,36
09:16 AM,-,09:30 AM,0,23
09:31 AM,-,09:45 AM,0,34
09:46 AM,-,10:00 AM,1,41
10:01 AM,-,10:15 AM,0,14
10:16 AM,-,10:30 AM,0,10
10:31 AM,-,10:45 AM,0,8
10:46 AM,-,11:00 AM,0,20
11:01 AM,-,11:15 AM,0,32
11:16 AM,-,11:30 AM,0,54
11:31 AM,-,11:45 AM,1,165
11:46 AM,-,12:00 PM,1,120
12:01 PM,-,12:15 PM,1,116
12:16 PM,-,12:30 PM,1,88
12:31 PM,-,12:45 PM,0,69
12:46 PM,-,01:00 PM,2,84
01:01 PM,-,01:15 PM,2,38
01:16 PM,-,01:30 PM,1,45
01:31 PM,-,01:45 PM,0,11
01:46 PM,-,02:00 PM,0,8
02:01 PM,-,02:15 PM,0,4
02:16 PM,-,02:30 PM,0,1
02:31 PM,-,02:45 PM,0,5
02:46 PM,-,03:00 PM,0,10
03:01 PM,-,03:15 PM,0,2
03:16 PM,-,03:30 PM,1,1
03:31 PM,-,03:45 PM,0,5
03:46 PM,-,04:00 PM,0,0
04:01 PM,-,04:15 PM,0,2
04:16 PM,-,04:30 PM,0,4
04:31 PM,-,04:45 PM,0,0
